GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
appengine-guestbook-objectify,com.example.guestbook,OfyHelper,9,0,0,0,5,0,3,0,3,0
appengine-guestbook-objectify,com.example.guestbook,Guestbook,3,0,0,0,1,0,1,0,1,0
appengine-guestbook-objectify,com.example.guestbook,Greeting,16,22,1,1,5,8,2,2,1,2
appengine-guestbook-objectify,com.example.guestbook,SignGuestbookServlet,11,41,1,1,1,10,1,2,0,2
